Username,Handle,Timestamp,Comments,Likes,Retweets,Text
OneO'ClockDrop,@OCDAugmented,2021-05-07T17:40:58.000Z,"This is why there’s “hesitance”
#vaccinated #vaccination #COVID19 #CovidVaccine #Covid #COVIDVaccination #vaccine #VaccineDiscrimination #VaccinePassportsQuote Tweet
Dustin PREM-SINGH-Penner
@Dustinpenner25
 · May 7
Totally normal
Show this thread",,1,1
Fulfilling Lives Islington & Camden (FLIC),@_FLIC_,2021-05-07T13:00:06.000Z,"Do you support people with severe mental illness? 
@PHE_uk
 have created a short #COVID vaccination film offering a guide to GPs and support services.

Find it here 
https://youtube.com/watch?v=OusrDVmUDZg&list=PLLDAq3SAWJh1iss0AOvvfGqJFNgY63sYq&index=1…

#COVID19 #COVIDvaccination #COVIDvaccine #vaccineCOVID-19 vaccination: A guide for GPs and teams to support people...
Dr. Emma Tiffin is a GP working for NHS England and NHS Improvement. She has a special interest in mental health and has worked in clinical leadership roles ...
youtube.com",,,
Kalakkal Cinema,@kalakkalcinema,2021-05-05T15:12:13.000Z,"Lock Down தேவையா? புதிய அரசுக்கு மக்கள் சொல்வது என்ன??

https://youtu.be/dfCv4lLWpzw

#lockdown #lockdown2021 #corana #COVIDSecondWave #COVIDEmergencyIndia #Covid19IndiaHelp #COVID19 #Tamilnadu #Chennai 
@SevenSri
 #lockdownInindia #vaccine #CovidVaccine #COVIDVaccination #CovidLock Down தேவையா? புதிய அரசுக்கு மக்கள் சொல்வது என்ன?? | COVID 19 |...
Lock Down தேவையா? புதிய அரசுக்கு மக்கள் சொல்வது என்ன??STYLE N RIDEAll Bike Spare Parts In One PlaceShop Contact Details :Style & Ride69, Harris Road, Near Sa...
youtube.com",,,2
Reform Hosting,@ReformHosting,2021-05-04T11:35:58.000Z,"Get Email Alerts When COVID-19 Vaccines Become Available Near You!!

Visit - http://bit.ly/getvaccinatedindia…

#covid #covid19 #pandemic #covidvaccine #vaccine #covidvaccineupdate #vaccination #covidvaccination #covidindia #vaccinationindia",,,
Roopkatha Gupta,@roopkathaaa,2021-05-03T08:01:21.000Z,"ANYONE WILLING TO GET COVID VACCINATION DONE (18+ & 45+) CAN CONTACT ME AND IT’L BE DONE UNDER MY NAME 
Location: Delhi/NCR 
#covid #CovidVaccine #COVIDVaccination #coviddelhi #VaccineRegistration #VaccineForAll #vaccine #VaccineFor18Plus",1,,2
Matthew J. Smith,@Mattysmith86,2021-04-28T19:24:12.000Z,Vaccine #2 done! So begins the 2 week countdown to full immunity! #vaccinated #GetVaccinated #CovidVaccine #vaccine #COVIDVaccination #COVID19Vaccination #Covid,,,1
Automovill,@automovillindia,2021-04-28T04:30:00.000Z,"Don't hesitate- Get vaccinated. Join the Vaccination Drive . Registration starts today. Get registered through the CoWIN platform or Aarogya Setu app.
#vaccinationdrive #May1st #vaccine #covidvacccine #COVIDvaccine #covid #covidvaccination #vaccinecovid19 #COVID19 #Automovill",,1,2
K.D.Services,@K_D_Services,2021-04-28T02:30:11.000Z,"Get yourself vaccinated for COVID-19.
#COVIDVaccination

#fightforcovid #stayhomestaysafe #vaccinecures #covidvaccine #covidvaccineupdates #thecovidvaccine #covid #covidindia #vaccine #vaccinesafety #kdservices #socialmediamarketing #gandhinagar #ahmedabad #deesa #palanpur",,1,
World News Live Alerts,@WorldNewsLive_,2021-04-26T21:59:05.000Z,"NEW: 3% of the world's population is fully vaccinated against COVID-19

#CovidVaccine #COVID19 #Covid_19 #CoronavirusVaccine #COVIDVaccination #COVID19Vaccine #COVID #COVID19 #COVID19Vaccination #coronavirus #vaccinated #vaccines #VaccinesWork #vaccine #BREAKING #NewsAlert #news",,1,1
John Scott Lewinski,@johnlewinski,2021-04-26T13:49:00.000Z,"For 
@barronsonline
 @inspiredbypenta
 Travel’s Next Conundrum: The Vaccine Passport https://barrons.com/articles/cobra-kai-home-of-daniel-larusso-hits-the-market-for-2-65-million-01619015683… #travel #covid #COVID19 #coronavirus #vaccine #vaccination #CovidVaccine #COVIDVaccines #COVIDVaccination #covidpassport #covidpassports‘Cobra Kai’ Home of ‘Daniel LaRusso’ Hits the Market for $2.65 Million
Makers of the Netflix hit set the series at the Atlanta-area, Tuscan-inspired mansion
barrons.com",,,
E.H. Hau #Resist #Persist,@ActionTime,2021-04-26T02:11:11.000Z,"#CovidEmergency2021: Drop-in #COVID-19 #Vaccine clinic in #Langley draws Long Lines #CovidCrisis #COVIDVaccination #COVIDEmergency #Covid19BC #COVID19Ontario #Covid19AB #Covid19Canada #Retweet #COVID19 #IARTG #coronavirus #Corona #CovidVAccine #FBR #demsDrop-in COVID-19 vaccine clinic in Langley draws long lines
Fraser Health held a drop-in COVID-19 vaccine clinic for residents of the southern part of Langley Township on Sunday, prompting long lineups and causing confusion for some eager residents.
bc.ctvnews.ca",,5,2
Bhaskar Live,@bhaskarlivein,2021-04-22T10:56:11.000Z,"Actor 
@SonuSood
 feels the #Covid preventive #vaccine should be available to the needy for free, and there should be a cap on pricing.
#SonuSood #COVID19India #COVIDVaccination #CovidVaccine #FreeCovidVaccineSonu Sood: Every needy should get Covid vaccine for free - Bhaskar Live English News
Mumbai, April 21 | Actor Sonu Sood feels the Covid preventive vaccine should be available to the needy for free, and there should be a cap on pricing. “Every needy should get vaccine for free. Very...
bhaskarlive.in",,,4
Amanda Catherine,@AmandeeTweets,2021-04-22T01:35:00.000Z,This girl is fully vaccinated  #COVIDVaccination #vaccinated #vaccine #Covid #COVID19 #PfizerVaccine #PfizerGang #CovidVaccine #thankyouscience,,1,1
Nikhil Gangavane,@thefinalmiracle,2021-04-20T14:08:04.000Z,"People interested in #vaccination details of any country do check this vaccination tracker... very useful!

https://nytimes.com/interactive/2021/world/covid-vaccinations-tracker.html…

#CovidVaccine #COVIDVaccinationUG #CovidVaccination #vaccines #vaccine #coronavirusvaccine #CoronaVaccine  #covidTracking Coronavirus Vaccinations Around the World
More than 1.34 billion vaccine doses have been administered worldwide, equal to 17 doses for every 100 people.
nytimes.com",,,
FullMoonShining,@stockrocker3,2021-04-13T14:48:25.000Z,"What the co that lied about baby powder and opioids , put out a bad vaccine? Impossible  https://cbc.ca/amp/1.5985110 #covid #coronavirus #COVID19 #vaccine #JohnsonandJohnson  #vaccines #CovidVaccine #COVIDVaccination #bucillamine #ohshit",,1,
"Dorothy Hensey, CS",@AngelHeartJoy,2021-04-13T03:46:31.000Z,"Finding Your Immunity from Disease https://youtu.be/ft3xjj4w1bI via 
@YouTube
 #Christian #Healing #Prayer #Jesus #Immunity #vaccine #vaccinationCovid #VaccinationDrive #COVID19 #COVIDVaccination #CovidVaccine #COVID #Corona #coronavirus #Bible #lockdown2021 #lockdown #WritingCommunityFinding Your Immunity from Disease
The prayer that reduces fear and brings out one's natural immunity to disease and heals symptoms of disease.First Church of Christ, Scientist, Port Townsend,...
youtube.com",,,
JJ The Expat,@JJ_The_Expat,2021-04-09T17:23:08.000Z,"There's a Hurdle to Jump Through If You're a Foreigner Registering for the Vaccine in Argentina
https://gayamericaninargentina.blogspot.com/2021/04/theres-hurdle-to-jump-through-if-youre.html…
#COVIDー19 #COVIDSecondWave #COVID #cordoba #argentina #Expats #livingabroad #expatblog #foreigners #vaccine #CovidVaccine #COVIDVaccination",,,
No Vaccine Man,@NoVaccineMan1,2021-03-26T00:58:44.000Z,"Anybody else out there know people who are eligible for the vaccine, but cannot get an appointment despite massive efforts? #COVID19 #COVIDVaccination #Covid #vaccine #appointments #AstraZeneca #CovidVaccine #Covid #CovidVaccineScam",2,1,2
Raj Meister,@RajMeister,2021-03-25T08:19:03.000Z,"Replying to 
@GMB
 and 
@graciemaybeIf you want to force #COVIDVaccination you need to offer all #CovidVaccine available across the board, including #SputnikV #CovidPassports will ONLY work if all #Vaccines are available for us TO CHOOSE from!

#AI #COVID #VaccinePassports #vaccine #AMC #my600lblife #MentalHealth",1,,1
Raj Meister,@RajMeister,2021-03-25T07:25:41.000Z,"If you want to force #COVIDVaccination you need to offer all #CovidVaccine available across the board, including #SputnikV #CovidPassports will ONLY work if all #Vaccines are available for us TO CHOOSE from!

#AI #COVID #VaccinePassports #vaccine #AMC #my600lblife #MentalHealth",,,2
TalkingRealKnowledge,@TalkinKnowledge,2021-03-23T10:24:12.000Z,".
@ChrisStigall
.
@ChrisChristie
 Is an embarrassment! Offering 
@krispykreme
 for #Vaccine shots! I’m just waiting for all the DISCRIMINATION LAWSUITS behind a #COVIDVaccine card that goes against #HIPPA protections!

#COVID #COVID19 #Vaccinated #VaccinePassports #COVIDVaccinationQuote Tweet
TalkingRealKnowledge
@TalkinKnowledge
 · Feb 24
.@ChrisStigall .@EddieCaiazzo

THERE IS NO (LAW) MANDATING ANYONE GETS A #COVIDVaccine SHOT in America! WHAT HAPPEN TO #HIPPA LAWS THAT ARE SUPPOSED TO PROTECT OUR HEALTH INFORMATION????

#COVID19 #COVID #Vaccine #Vaccinated #VaccinePassports #Covid19VaccinationCard",,,
J. Andrew Smith,@JJasmith4,2021-03-21T17:09:46.000Z,"Replying to 
@NJCitizenActionFor COVID-vaccine information and appointments try http://vaccinespotter.org - it's nationwide, so please share all across America!

#vaccine #covid #COVID19 #CovidVaccine #COVID19Vaccine #COVID19Vaccination #COVIDVaccination #CoVidVaccineSaveLives #covidvaccinearrives",,3,1
Scott,@Flanican,2021-03-20T13:29:45.000Z,"I've been jabbed 

#Covid #Covid19 #CovidVaccine #CovidVaccination #Vaccine",,,
Helen Ries (she/her),@helenries,2021-03-16T01:56:50.000Z,"The City of #Ottawa is holding a #COVID-19 #Vaccination Forum for People with #Disabilities. 

Date: Tuesday, March 23, 2021
Time: 10:30 am - Noon

Registration in advance is required.
https://s-ca.chkmkt.com/?e=224533&d=e&h=331CA606A984B96&l=en…

#COVID19 #vaccine #CovidVaccine #COVIDVaccination #OttCity",,1,2
Darryl Howery,@dghowery,2021-03-15T11:07:33.000Z,"New data suggests mRNA COVID-19 vaccines prevent infection https://newatlas.com/health-wellbeing/mrna-coronavirus-vaccine-prevent-infection-transmission/… #COVID19 #Covid_19 #covid #coronavirus #CoronaVirusUpdates #corona #CovidVaccine #COVIDVaccination #vaccinated #vaccine #pandemicNew data suggests mRNA COVID-19 vaccines prevent infection
In a stunning demonstration of human endeavor, less than one year after a new virus swept across the world triggering a pandemic, we developed several effective vaccines that protect those inoculated...
newatlas.com",,,
"Yan Leyfman, MD",@YLeyfman,2021-03-14T19:15:00.000Z,#Corona #Pandemie #pandemicanniversary #pandemic #pandemiclife #Covid_19 #COVID #pandemic #sars_cov_2 #COVID #covid19research #coronarvirus #SARSCoV2virus #coronatherapy #coronaupdates #pandemic2020 #SARSCoV2 #CoronaVirusUpdates #vaccine #CovidVaccine #COVIDVaccination,,,
Scot Tanner Buchholz,@BScotTanner,2021-03-14T14:59:45.000Z,"#BREAKING #AstraZeneca #vaccinations #suspended today in #Ireland : More #EU nations are halting the #vaccine https://irishexaminer.com/news/arid-40243931.html?type=amp… #CovidVaccine #COVID19ireland  #COVIDVaccination #VaccinesWork #vaccines #Medical #health #Covid #Covid_19 #COVID19 #pandemic #coronavirusAstraZeneca vaccinations suspended in Ireland from this morning
Chair of NIAC, Professor Karina Butler said hopefully next week she would be in a position to inform people that the AstraZeneca vaccine is safe to ...
irishexaminer.com",,1,
Muhammad Zubair,@QuaidianZubair,2021-03-14T12:30:47.000Z,"Sharing my personal experience after taking 1st dose of COVID-19 Vaccine. Must watch

https://youtu.be/GYOiGkMPxWw
#Covid_19
#CoronaVaccine #vaccine  #COVID #COVIDVaccination #sinopharm #coronavirus #COVID19 #CovidVaccineCorona Vaccine
Sharing my personal experience about COVID-19 Vaccine.
youtube.com",,,1
Ronald,@RonaldTooTall,2021-03-12T01:18:59.000Z,"#Biden sets May 1 target for all adults to be #vaccine-eligible

#Pandemic #Covid #CovidVaccine #CovidVaccinationBiden sets May 1 target for all adults to be vaccine-eligible
WASHINGTON (AP) — One year after the nation was brought to a near-standstill by the coronavirus, President Joe Biden used his first prime-time address Thursday night to announce his plan to make all …
flip.it",,1,2
"Yan Leyfman, MD",@YLeyfman,2021-03-11T23:45:21.000Z,#Covid_19 #COVID #pandemic #sars_cov_2 #COVID #covid19research #coronarvirus #SARSCoV2virus #coronatherapy #coronaupdates #pandemic2020 #SARSCoV2 #CoronaVirusUpdates #vaccine #CovidVaccine #COVIDVaccination #COVID19Vaccine #vaccinated,,1,
"Yan Leyfman, MD",@YLeyfman,2021-03-11T23:41:22.000Z,#Covid_19 #COVID #pandemic #sars_cov_2 #COVID #covid19research #coronarvirus #SARSCoV2virus #coronatherapy #coronaupdates #pandemic2020 #SARSCoV2 #CoronaVirusUpdates #vaccine #CovidVaccine #COVIDVaccination #COVID19Vaccine #vaccinated #CovidRelief #vaccine,,,
"Yan Leyfman, MD",@YLeyfman,2021-03-11T23:20:02.000Z,#Covid_19 #COVID #pandemic #sars_cov_2 #COVID #covid19research #coronarvirus #SARSCoV2virus #coronatherapy #coronaupdates #pandemic2020 #SARSCoV2 #CoronaVirusUpdates #vaccine #CovidVaccine #COVIDVaccination #COVID19Vaccine #vaccinated,,,
Andhi Toofan,@andhi_toofan,2021-03-09T05:38:10.000Z,"New study warns Pfizer and Moderna COVID-19 vaccines could be far LESS  effective against South Africa variant | TheHill!!!!
#COVID19 #CovidVaccine #vaccine #coronavirus #COVID #COVIDIOT #COVID19Vaccine #COVIDVaccination
https://thehill.com/changing-america/well-being/prevention-cures/542182-new-study-warns-pfizer-and-moderna-covid-19…

via 
@GoogleNewsNew study warns Pfizer and Moderna COVID-19 vaccines could be far
Researchers found a decline in neutralizing activity against B.1.351.
thehill.com",,,
UCR Science News,@UCR_ScienceNews,2021-03-08T18:34:23.000Z,"How to sign up for a #COVID19 #vaccine in #LosAngeles County https://latimes.com/california/story/2021-03-03/how-to-sign-up-to-get-your-covid-19-vaccine-appointment-in-los-angeles… #CovidVaccine #CovidVaccines #COVIDVaccination #covidHow to sign up for a COVID-19 vaccine in Los Angeles County
Vaccine eligibility in L.A. County has expanded again. Here's how to sign up for a COVID-19 vaccine appointment.
latimes.com",,,
Commander Vikram W Karve,@w_karve,2021-03-08T15:38:53.000Z,"#CovidVaccine #Pune
Seeing the huge response of #SeniorCitizens for #COVIDVaccination - it is evident that most people want the #Vaccine and there doesn't seem to be any #VaccineHesitancy

___________
#COVID #Vaccination #CoWIN #Covishield #Covaxin #India",2,3,9
Gisela Perez Mauri,@gperezmauri,2021-03-07T21:23:39.000Z,"Històries d'amor que rarament arriben als mitjans. No obstant això, n'hi ha i conèixer-les enforteix l'ànima 
#COVID #COVID19 #COVID2019 #coronavirus #CovidVaccine #vaccine #vaccination #COVIDVaccinationQuote Tweet
Auschwitz Memorial
@AuschwitzMuseum
 · Mar 7
A Holocaust survivor Francis Sacks received the COVID-19 vaccine from a very special doctor: her granddaughter.

“She gave my dad life and then he gave me life and now I’m helping her to survive. That’s not lost on me.”
https://thestar.com/life/together/people/2021/03/07/generations-of-love.html?utm_source=Twitter&utm_medium=SocialMedia&utm_campaign=Life&utm_content=star-together-generations-of-love&utm_source=twitter&source=torontostar&utm_medium=SocialMedia&utm_campaign=&utm_campaign_id=&utm_content=…",,,
Joshua William,@JoshWilliam93,2021-03-06T05:24:31.000Z,"http://VaccineLiberationArmy.com
#covidkeeper #COVID19 #CovidVaccine #COVID #Covid_19 #COVIDIOT #COVIDVaccination #COVID19Vaccine #COVIDVaccineArrives #COVIDIOTS #coronavirus #Corona #CoronaVaccine #CoronavirusVaccine #vaccine #vaccines #VaccineStrategy #CuomoKilledGrandma #antivax RT",1,,1
DBoop,@DBoop4,2021-03-05T23:26:02.000Z,"Swelling after #COVID-19 shots may cause #cancer #FalseAlarms
#COVIDVaccination #vaccine #News #Health #mammogram #CovidVaccineSwelling after COVID-19 shots may cause cancer false alarms
Getting a mammogram or other cancer check soon after a COVID-19 vaccination? Be sure to tell the doctor about the shot to avoid false alarm over a temporary side effect. That's the advice from cancer...
local21news.com",,,
Contemporary Judgments,@ContemporaryJud,2021-03-05T19:15:07.000Z,"Here's text of the House bill. Don't waste your time reading it, but also, enjoy.

#CovidReliefBill #COVID19 #CovidVaccine #COVID #COVIDVaccination #COVIDIOT #Politics #Bills #Text #Waste #MinimumWage #MinimumWageHike #vaccine #vaccination
https://assets.documentcloud.org/documents/20489001/house-democratic-covid-relief-bill.pdf…",,,
PU Pulse,@pu_pulse,2021-03-05T11:09:37.000Z,"#BREAKING

#Punjab CM Captain #AmarinderSingh on Friday took his first shot of #COVID19 #vaccine at the Civil Hospital in #Mohali. He urges all eligible to get vaccinated.

#COVIDVaccination #Covishield #Covid_19 #COVID #CovidVaccine #pupulse #AstraZeneca #COVIDVaccineArrives",,,
Albert DeAscentis,@AlbertDeAscenti,2021-03-03T14:42:17.000Z,"#Obamacare would get a big (and quiet) overhaul in the #COVID19 relief bill https://nbcnews.com/politics/congress/obamacare-would-get-big-quiet-overhaul-covid-relief-bill-n1259343… 
@TeamPelosi
 #thelincolnproject #COVID19 #VaccinationDrive #vaccines #COVIDVaccination #p2 #StrongerTogether #Fauci #SocialDistancing #vaccine #COVID #CovidVaccine #CovidReliefBillObamacare would get a big (and quiet) overhaul in the Covid relief bill
Democrats are proposing big changes to the Affordable Care Act. Here's why the debate is less fierce this time.
nbcnews.com",,1,
Parth Shokeen,@parthshokeen1,2021-03-03T06:15:21.000Z,"Why isn’t the COVID vaccine free even in the private hospitals? 
@drharshvardhan
 

#Covid_19 #COVID #COVID19 #vaccine #CovidVaccine #IndiaFightsCorona #coronavirus #CoronaVirusUpdates #Modi #COVID19India #modi_jawab_do #hospital #vaccinated #vaccination #COVIDVaccination",,3,3
Siddhartha Bose,@_SiddharthaBose,2021-03-02T18:49:18.000Z,Parents took first shot of #covid #vaccine. Had to wait close to 3 hours in absence of rush due to technical glitches in system. #AstraZeneca #COVIDVaccination #CovidVaccine #india #COVID19Vaccine,,,1
Smitty Werbenjägermeistermanjensen,@JagerMeisterrs,2021-03-02T06:39:37.000Z,If you refuse any vaccine and get the illness that vaccine would prevent a hospital and insurance providers should have the right to deny you coverage or healthcare. #Covid19VaccineReport #CovidVaccine #COVID #COVIDVaccination #AstraZeneca #vaccine,,,
Carol Hafner for Congress,@VoteHafner,2021-02-28T14:10:20.000Z,"#DrFauci #COVID19 #CovidReliefBill #COVID19Vaccine #COVID #COVIDVaccine #COVIDVaccination #vaccine #vaccines #WearAMask #CDC #FauciHero #CPAC #USA #CPAC2021 #Trump2024 #coronavirus #CoronaVirusUpdate #coronavirusuk

Dead people can’t applaud.Dead #Republican #voters  can’t stand:Quote Tweet
South Dakota Standard
@DakotaStandard
 · Feb 28
1,886 dead. 10% of population infected.
And Gov. Noem gets a standing ovation for a snide comment on Dr. Fauci. Had enough?
https://cnn.com/videos/politics/2021/02/27/kristi-noem-cpac-fauci-coronavirus-reiner-nr-sot-vpx.cnn/video/playlists/this-week-in-politics/…",,,
"Yan Leyfman, MD",@YLeyfman,2021-02-22T16:45:00.000Z,#coronarvirus #coronatherapy #coronaupdates #pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #covid19 #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #SARSCoV2virus  #COVIDVaccine #COVID,,,1
Frankie,@XEyezWideOpenX,2021-02-22T08:52:40.000Z,"#Doctors warn that #COVIDー19 #vaccine #sideeffect could confuse #mammogram results 

#COVID19 #covid #coronavirus #COVIDVaccine #COVIDVaccination #CovidVaccinesideeffects #CovidVaccinations #COVID19Vaccine #COVID19vaccines #COVID19VaccinationDoctors warn that COVID-19 vaccine side effect could confuse mammogram results
Over the past few weeks, radiologists at UPMC realized that several dozen patients flagged for abnormal mammograms because of swollen underarm lymph nodes...
post-gazette.com",,,1
"Yan Leyfman, MD",@YLeyfman,2021-02-22T00:06:32.000Z,#coronarvirus #coronatherapy #coronaupdates #pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #covid19 #vaccine #vaccination #vaccinations #covid #COVIDVaccination #Covid_19 #COVIDVaccine #COVIDー19 #SARSCoV2virus,,,
"Yan Leyfman, MD",@YLeyfman,2021-02-20T21:10:52.000Z,#sars2 #sars_cov_2 #COVID #covid19research #coronarvirus #coronatherapy #coronaupdates #pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #vaccine #vaccination #vaccinations #covid #COVIDVaccination  #COVIDVaccine,,,
MEM FERDA,@memferda1,2021-02-20T12:39:25.000Z,A quick JAB - All Done - 12 Weeks for Next One! #vaccine #Pfizer #COVID #COVIDVaccine #COVIDVaccination #Covid19UK,2,4,11
"Yan Leyfman, MD",@YLeyfman,2021-02-19T17:09:25.000Z,#coronaupdates #pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #covid19 #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine,,,
Darryl Howery,@dghowery,2021-02-19T14:13:06.000Z,"Experts Answer the Biggest COVID Vaccine Questions https://scientificamerican.com/article/experts-answer-the-biggest-covid-vaccine-questions/… via 
@sciam
 #COVID19 #covid #COVID19AB #COVIDisAirborne #COVIDVaccination #COVIDVaccine #coronavirus #CoronavirusVaccine #CoronaVirusUpdates #pandemic #vaccine #vaccinated #virus #yeg #yyc #yyz #yvr #yulWhich COVID Vaccine Is ‘Best’? Why Do Some People Have Side Effects? Experts Answer These Questions...
Scientific American talked to scientists about everything from what efficacy means to protection against the new coronavirus variants
scientificamerican.com",,1,
"Yan Leyfman, MD",@YLeyfman,2021-02-18T01:02:25.000Z,#SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine #SARS_CoV_2 #pandemia,,,1
"Yan Leyfman, MD",@YLeyfman,2021-02-17T22:27:01.000Z,#COVID #covid19research #coronarvirus #coronatherapy #coronaupdates #pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine,1,1,1
"Yan Leyfman, MD",@YLeyfman,2021-02-17T06:47:45.000Z,#corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #covid19 #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine,,,
"Yan Leyfman, MD",@YLeyfman,2021-02-16T21:07:28.000Z,#pandemic2020 #pandemicresponse #SARSCoV2 #corona #CoronaVirusUpdates #covidvaccines #covidvaccinations #medicine #covid19 #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine #variants #Covid,,,
"Yan Leyfman, MD",@YLeyfman,2021-02-16T17:30:23.000Z,#medicine #covid19 #vaccine #vaccination #vaccinations #COVID19 #covid #COVIDVaccination #Covid_19 #COVIDVaccine,,,
Sovereign & Free Jeanine Susan Deal,@JeanineDeal,2021-02-13T16:39:18.000Z,"Molecular Genetics Expert Explains Messenger RNA and RNA Vaccines by Dr. Louise Lagendijk, MD, PhD

https://bit.ly/3qk6tH9

#COVID #vaccinations #COVIDVaccine #COVIDVaccination #coronavirus #CoronaVaccine #vaccineMolecular Genetics Expert Explains Messenger RNA and RNA Vaccines :...
DR. LOUISE LAGENDIJK, MD, PhD:A Harvard-educated doctor with an extensive background in molecular genetics explains messenger RNA and potential autoimmune...
archive.org",,1,
TalkingRealKnowledge,@TalkinKnowledge,2021-02-11T22:02:41.000Z,"This senile MoMo was LIVE on TV addressing the nation w/ a damn mask on (THAT HE KEPT TOUCHING), w/ NO ONE within 10ft let alone 6ft I bet!

This is the PRESIDENT OF THE UNITED STATES my fellow Americans!

#COVID #COVID19 #WearAMask #Vaccine #COVIDVaccine #COVIDVaccination",,,
Victorian Dad,@VictorianDad,2021-02-11T19:11:30.000Z,"Has everyone seen this video of Elton John promoting the #COVID19 #vaccine?

His willingness to appear in a slightly mocking way is to his credit.

#c4news 

#COVIDVaccine

#Covid

#COVIDVaccinationFrom 
Matt Chorley",,,1
