Username,Handle,Timestamp,Comments,Likes,Retweets,Text
"TAK(ENAKA) 浩志"" B'zを愛してやまないマーケティングな人",@take4808,2021-05-11T11:57:44.000Z,"ちょい早から
#anytimefitness
#筋トレ
#筋トレ垢さんと繋がりたい
#筋トレ好きと繋がりたい
#筋トレ男子
#エニタイムフィットネス
#NIKE
#zoomfly3
#NIKETRAIL
#Tabio
#UNDERARMOUR
#Apple
#AppleWatchNikeSeries6
#AppleWatch
#AirPodsPro
#YAJIRO
#DEEPBALANCER
#Bracelet
#Necklace
#neighborhood",,,16
Ikemesit BadBlood Nkereuwem-Tim,@28BaadBlood,2021-05-11T11:57:29.000Z,"Check the AURA around My Head, for Real. This is Real Life, No Photoshop - I dressed up all #Nike for a Meeting - That Dream is a REALITY. 
@sneakerfestng
 is the DEAL. WE ON!

#SneakerFest #Sneakerphernelia #Nike https://instagram.com/p/COu1fGyhcUh/?igshid=13guxot7xkxe3…",,,
Viku,@V1KT0R1OUS,2021-05-11T11:56:50.000Z,"Wtf! People go on at LFC and there shirts but this is on a next level. 
#nike https://twitter.com/TheSportsman/status/1392085619967500291…This Tweet is unavailable.",,,
DeadLaced Sneakers & Fashion,@DeadLaced,2021-05-11T11:55:48.000Z,"Nike Air Max 90 “Hot Lime” dropped here —> https://bit.ly/2RcldeF

#nike #airmax",,,
＼サンシャインくみばばあ／会員№077,@0912ik4173,2021-05-11T11:52:44.000Z,"この人なにしてんの( ◜ω◝ )

#NIKE
#だから名前書いてもらえねぇんだよ",2,,4
XGAMERBR,@FG_XgamerBR,2021-05-11T11:50:39.000Z,"Xbox, #Nike e #EA | Anunciam  concurso personalizado do #Xbox
 One X 

O Super Bowl LIV está a caminho e, paraXbox, Nike e EA | Anunciam concurso personalizado do Xbox One X | XGAMERBR
xgamerbr.com",,,
fu,@ponyaviva,2021-05-11T11:49:03.000Z,"650รวมส่งไปเลยค่ะ เเท้100% #ส่งต่อรองเท้า #ส่งต่อรองเท้ามือสอง #ส่งต่อรองเท้ามือสองของแท้ #nike #nikeairmax #ponyavivaส่งต่อQuote Tweet
fu
@ponyaviva
 · Apr 22
ส่งต่อ nike air max 97 ยาว 26.5 เซน 
 ราคา 1200บาท ขอดูรูปเพิ่มเติมได้นะคะ #ส่งต่อรองเท้า #ส่งต่อรองเท้ามือสอง #ส่งต่อรองเท้ามือสองของแท้ #nike #nikeairmax #ponyavivaส่งต่อ",,,
木村一郎,@peacemotor,2021-05-11T11:47:29.000Z,"AIR MORE UPTEMPO 96
#ナイキ エア モアアップテンポ 
#nike 
#nikemoreuptempo",,,4
Lexie Gantz,@GantzLexie,2021-05-11T11:46:28.000Z,"#plush #collectableplush #collectables #elephants #ebaystore #rare #dansko #clarks #clogs #crocdeals #outletdeals #luxurycosmetics #reseller #sevenforallmankind #verabradley #raedunnaddict #trade #mercari #poshboss #ebayvault #nike #brooks #saucony #hoka1sellerfastshipping2u on eBay
Follow 1sellerfastshipping2u on eBay. Buying, Selling, Collecting on eBay has never been more exciting!
ebay.com",,,
Bears18PG,@Bears18PG,2021-05-11T11:46:02.000Z,"LACQUERにて初当選
つ、ついにウチにもSBが
黒ベースの靴似合わないから避け続けてきたけどこれならいける
笑
作業服にもバッチリ
笑（我慢できずに帰って直ぐ履いただけです
）

#nike #dunk #sb #sbdunk",,,24
ヤフオク・paypayフリマ宣伝,@payahoo31,2021-05-11T11:45:57.000Z,"値下げ交渉可！NIKE ウィメンズ　ドライフィット　スウエットパンツ　Lサイズ　ブラック

購入価格2990円
販売価格1500円

#NIKE #ナイキ #ウィメンズ #レディース #メンズ #DRYFIT #ドライフィット #スウェットパンツ #値下げ交渉可 #ヤフオク #paypayフリマ #ブラックNIKE ウィメンズ ドライフィット スウエットパンツ - ヤフオク!
３月に2990円で購入しました。私の肌に合わない生地でしたので出品致します。回数は５回くらいしか着用してないのですが、洗濯ネットに入れて洗濯しなければならないのに気づかず、毛玉が着用回数にしては多くついております。毛玉取ろうと頑張りましたがあまり取れませんでした。レディースものですが、175cm72kg のメンズの私でも着用できておりました。発送前に一度洗濯し、送らせていただきます。サイズ(cm...
page.auctions.yahoo.co.jp",,,
SpillingTeaWithRoxy MS & Chronic illness Podcast,@RoxySpillingtea,2021-05-11T11:45:48.000Z,"Not a surprise! Most technological advances are made because of the needs of disabled people . However we can’t even get access to the product. #nikeflyease #flyease #adaptablefashion #nike 
@nikelondon
 #Multiplesclerosis #functionnotfashion #complexsneakersQuote Tweet
Complex Sneakers
@ComplexSneakers
 · May 9
Nike's hands-free Go FlyEase was supposed to be one of its most accessible sneakers. Instead, it became another pawn in the resale game.

Disabled people explain what Nike and reseller sites can do to help get these shoes to people who truly need them. https://complex.com/sneakers/nike-go-flyease-sneakers-for-disabled-people…",,,
坂道　下,@sakamichikudaru,2021-05-11T11:43:27.000Z,"憧れのリアルsize表記！
1981年製造MADE IN KOREA
40年前のスニーカーですがまだ履けそうです！わかりましたか？？
#NIKE",3,,128
転売ボックス,@tenbaibox,2021-05-11T11:42:11.000Z,"【５月２３日（日）】NIKE DUNK LOW SE ""OLIVE GOLD"" ナイキ ダンク ロー SE オリーブゴールド

#Nike #Dunk #OliveGold #ナイキ #ダンク 
https://tenbaibox.com/archive/10862",,,5
Esquire*Attire,@esquireattire,2021-05-11T11:39:08.000Z,https://ebay.to/2XnHBzj #NIKE AIR MAX FLAIR Men Size 8.5 Sneakers Silver N,,,
"Hiromu,O",@HiromuO3,2021-05-11T11:38:29.000Z,"これは、NIKEさんが買ってもいいよって事で良いよね
バックパックかアパレル買おうかな
#NIKE",,,16
Lionel Sara Jazmin Jordaniz Belle,@FVFDEJESUS,2021-05-11T11:36:15.000Z,"AIR JORDAN RETRO 13 “RED FLINT” https://youtu.be/X_3WzRCmYc0 #Airjordan #retro13 #redflint #red #grey #kicks #shoes #sneakers #stockx #nike #jordan #kicksonfire #23isback #flightclub #goatAIR JORDAN RETRO 13 “RED FLINT”
Hello Fave Five Family in this video Lionel will be unboxing the Air Jordan Retro 13 “Red Flint”. Hope you enjoy! #AIRJORDAN #REDFLINT #RETRO13Psalm 37:4 KJV...
youtube.com",,,
your6_6only,@your6_6only,2021-05-11T11:31:13.000Z,"#nike の広告、やっぱりセンスいいわァ…YouTubeで流れて、目が離せなくて、全部観て、更に探しちゃうくらい。 RT Play New 新しいことへのチャレンジ. Nike 日本Play New 新しいことへのチャレンジ
新しい挑戦に不安はつきもの。でも最高の体験でもある。「Play New」をチェック。
nike.com",,,
JD Sports Ireland,@JDSportsIE,2021-05-11T11:30:11.000Z,"Sage green = ya' summer colour 
Shop new in Nike in the bio 
https://fal.cn/3fipR 

 #Nike #JDIE",,,
KnowLedge,@GHOSTKICKZ,2021-05-11T11:29:54.000Z,Set the market #StockX #Nike #Dunk #AllStar,,,
sevenstars,@sevenstars2505,2021-05-11T11:29:32.000Z,"そもそも広告の担当者は朝鮮総連の政治団体の一つの立憲民主党の身内かよ。

#NIKE の差別「捏造」広告の時と同じパターン？

【謎】宝島社の広告、立憲がリツイート→立憲の三角そうた「兄が広告を担当しました！」　これは一体・・・  https://matomame.jp/user/yonepo665/ca75cbd4c54c30e12c00… #三角そうた #立憲民主党 #宝島社",1,2,2
NIKEファン,@NIKE_NIKEFAN,2021-05-11T11:28:01.000Z,"AIR JORDAN 7はジョーダンのバルセロナオリンピック金メダルを支えたモデル。
アメリカ代表（ドリームチーム）のユニフォームに合わせた【オリンピックモデル】が話題を呼んだ。
#NIKE　#AIRJORDAN",,,
aar1980,@aallisonr,2021-05-11T11:27:24.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #karllagerfeld #madewell #nike: https://posh.mk/T2pXmMzDagb",,,
tempe tim,@BangBobbie,2021-05-11T11:27:22.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #bettiepage #nike #victoriassecret: https://posh.mk/uaRDCCzDagb",,,
I GOT A STORY TO TELL PODCAST,@IGASTTPODCAST,2021-05-11T11:27:13.000Z,"Catch up on the last 4 Episodes 12-15 of 
@IGASTTPODCAST
 featuring 
@PhillyWill11
 @johncox04
 @Coach_Chavis
 @ThompsonRahim
 link in my bio. Their Story,Their Platform #blog #podcast #anchor #interview #sports #coach #SmallStreamersConnect #nfl #nba
  #nike #espn #chiefs #philly #hoops",,2,4
Lena Chianese,@nchianese45,2021-05-11T11:27:01.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #underarmour #adidas #nike: https://posh.mk/mjODU2xDagb",,,
Jamilah drake,@J_Milah,2021-05-11T11:26:48.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #champion #nike #columbia: https://posh.mk/JstlR6wDagb",,,
Lisa A.,@LAA_Florida,2021-05-11T11:26:41.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike #victoriassecret: https://posh.mk/OVEUIBwDagb",,,
Teresa Creation's,@LionessQueen69,2021-05-11T11:26:38.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #thenorthface #nike: https://posh.mk/zCeeTmwDagb",,,
BARBARA,@barbara4134,2021-05-11T11:26:32.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #russellathletic #nike #nba
: https://posh.mk/KeN9ZQvDagb",,,
Terrell Bacon,@TerrellBacon4,2021-05-11T11:26:16.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@jessjakeway
 #poshmark #fashion #style #shopmycloset #crocs #armaniexchange #nike: https://posh.mk/Y1ZjVMuDagb",,,
Skip Robinson,@coachskipbball,2021-05-11T11:26:08.000Z,"Catch up on the last 4 Episodes 12-15 of 
@IGASTTPODCAST
 featuring 
@PhillyWill11
 @johncox04
 @Coach_Chavis
 @ThompsonRahim
 link in my bio. Their Story,Their Platform #blog #podcast #anchor #interview #sports #coach #SmallStreamersConnect #nfl #nba
 #nike #espn #chiefs #philly #hoops",,3,5
ツシマのスニーカー動画まとめ,@tsushima1986,2021-05-11T11:25:37.000Z,"コイツはかっこよすぎって!!ナイキダンクハイをゲット！ https://tsushima.jp/nike-dunk-hi-get-basketman/… 
@tsushima1986
より #NIKE #DUNKコイツはかっこよすぎって!!ナイキダンクハイをゲット！ – ツシマのスニーカー動画まとめサイト｜NIKE、adidas、他
バスケットマン【デルピエロ石田】さんの動画紹介です。動画が気に入った方はチャンネル登録お願いします。
tsushima.jp",,,3
Pedro perez pelegrin,@perez_pelegrin,2021-05-11T11:20:36.000Z,"BAMBAS, NIKE, ADIDAS https://bambasdemarca.blogspot.com/?spref=tw 
ATENCION
NIKE Air MAX 3, Zapatillas Deportivas Mujer
Nike Air Jordan 1 Mid Banned Bred (2020) 554724-074 - Talla 42,5
adidas V Racer 2.0, Zapatillas de Deporte Hombre
#AMAZON  #NIKE #ADIDAS #JORDAN",,,
hiromasa.M,@hiromas_a,2021-05-11T11:16:05.000Z,"毎日ログインしています
当たってください
#NIKE #SNKRS #AirJordan1",,,
#鹿[Shika]™,@Bambi_surprise,2021-05-11T11:14:32.000Z,"ウマ娘 スーパークリーク
×
NIKE AIR JORDAN 1 RETRO HIGH OG
“OBSIDIAN”

#NIKE #SNKRS 
#ウマ娘 #スーパークリーク",1,23,41
アンドウヨシキ@奈良の美容室経営者,アンドウヨシキ@奈良の美容室経営者,2021-05-11T11:13:10.000Z,"コレ欲しいけど、そろそろ買える？？

#AMBUSH
#NIKE",,,
CoreyAnthony,@CoreyAnthonyInc,2021-05-11T11:13:08.000Z,"Check out NIKE NWT CW5401-068 Gray/White Straight Leg Drawstring Woven Pants Mens sz L #Nike #Casual 
@Athletic
 https://ebay.us/RfOqw6 via 
@eBayNIKE NWT CW5401-068 Gray/White Straight Leg Drawstring Woven Pants Mens sz L
Total Length:42in. 100% Polyester. Rise: 14.5in.
ebay.com",,,
CoreyAnthony,@CoreyAnthonyInc,2021-05-11T11:12:09.000Z,"Check out NIKE NWT CJ4461-063 Heather Gray Casual Sportswear Polo Shirt Mens sz L #Nike #Basic #Polo https://ebay.us/g3nbZi via 
@eBayNIKE NWT CJ4461-063 Heather Gray Casual Sportswear Polo Shirt Mens sz L
White swoosh. 100% Cotton.
ebay.com",,,
Marvel Movie Fan Gear,@MarvelMovieFan,2021-05-11T11:10:16.000Z,"https://ebay.com/itm/363391557251?hash=item549bd31e83%3Ag%3A1k0AAOSwxnFgmZ%7E8&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338727543&customid=&toolid=10049… #nike #vansadidas Yeezy 700 Bright Blue Size 10.5 *BRAND NEW* SHIPS FAST GZ0541
Only taken out of the box for picture purposes.
ebay.com",,,
アル中の不眠症が古物商してみた,@chase_denim2021,2021-05-11T11:10:05.000Z,"SNKRS、モアテンChicagoも追加されて今週忙しいけど、本命はコイツなんよね。
 
定価でおなしゃす！

#nike 
#NIKEDUNK 
#スニーカー 
#スニーカー好きと繋がりたい",,,11
Imaginalia,@ImaginaliaCC,2021-05-11T11:10:02.000Z,"RT 
@decimasoficial
: Sus primeros pasos en el deporte 
Deja que los dé con #Nike 
 http://ow.ly/Xg0L50EkyTQ 
#Decimas #LivingSport #Nike #casualshoes #kidswear #sneakers #shoes #kicks",,,
58,@Airfog11,2021-05-11T11:09:05.000Z,"これめっちゃかわいいやん！
#nike #nikesb #FTC #THEKILLINGFLOOR",,,
"清水らる
#MODECON S/S",@Shimizu_Raru,2021-05-11T11:07:40.000Z,"❤︎ RT審査対象tweet
5月11日(火) 23:30~2:00くらいまで配信予定です❤︎お時間の合う方はぜひお待ちしておりますね
#MODECON #ミクチャ #RT数が審査対象になっています #パーカー女子 #nike",,17,7
Solo ed esclusivamente INTER,@SoloEsclusivInt,2021-05-11T11:05:30.000Z,"Concept prima maglia Inter 21-22 
@totodesign_
 @SoloEsclusivInt
 

 SOLO ED ESCLUSIVAMENTE INTER
@Footy_Headlines
 #Inter #Nike #LukakuR.Lukaku Bolingoli9 and 2 others",7,9,29
坂道　下,@sakamichikudaru,2021-05-11T11:03:01.000Z,"おわかり頂けるだろうか？？
ヤバいのゲットです！
#NIKE",3,,99
jup561,@HenryPrebianca,2021-05-11T11:02:37.000Z,"Replying to 
@B1ackSchefterCap got his chance to come back  and blew it    of course for more money 
 cause he so oppressed and all #nike #disney",,,
Nifty Sneaks,@NiftySneaks,2021-05-11T11:01:52.000Z,"Shilling this dope GIV 1! SO DOPE!
Visit http://niftysneaks.com to start collecting today!

#nft #nike #nikeair #NBATopShot #nftcollector #nftart #HypeBeast #cryptoart #eth #rarible #opensea #NiftySneaks #NFTcollectionGIF",,,5
Highs and Lows,@LiesandHoes,2021-05-11T11:00:16.000Z,"One step at a time 
 View Nike's latest Air Max Pre-Day silhouettes in-stores and online now. #teamhal #nike #movetozero https://highsandlows.net.au/collections/nike?page=2…",,,
三十路の親父,@EAZY_ENTERT,2021-05-11T11:00:08.000Z,"スニーカー
ファッション
ブログ更新しました
【 NIKE AIR MORE UP TEMPO ’96 】

#スニーカー #発売情報 #NIKE #ナイキ【 NIKE AIR MORE UP TEMPO ’96 】 : 三十路の親父のファッションライフ
【 NIKE AIR MORE UP TEMPO ’96 】【発売日】５月１４日９：００〜【価格】�１９２５０円今回は2005年にHOOP PACKでリリースされたカラーリングが再登場
misoji-oyaji.blog.jp",,,
DJ玉ちゃん,@DJ_Tamachan,2021-05-11T11:00:02.000Z,"【オンエアまであと1時間】
ちょっとだけネタバラシ。
今年デビュー25周年を迎える #PUFFY のムック本
#BoonPuffyBoon と、
同じく25周年の #エアモアアップテンポ。
今年復刻された #レイガンズ モデル（玉ちゃん私物）。

#足立佳奈 #DJ玉ちゃん #kicks897 #interfm
#radiko #zozoshoes #NIKE",1,4,20
Conor Jones Designs,@cj23designs,2021-05-11T11:00:01.000Z,"@Inter
 Streamlined third kit concept
@fifakitcreator
 
#inter #InterMilan #IMInter #ForzaInter #nike #fifa #fifa21 #pes #pes2021",,,
スニーカーもアパレルも買うならスニダン【スニーカーダンク】,@snkrdunk,2021-05-11T11:00:00.000Z,"スタンバイ
シリーズ内でも屈指の人気を誇るモノトーンのみで構成されたAJ1""SHADOW 2.0""が5/15発売！
 https://snkrdunk.com/articles/9660/?tum_source=twitter&utm_medium=social&utm_campaign=articles…

#NIKE
#ナイキ
#AIRJORDAN1
#エアジョーダン1
#snkrdunk
#スニーカーダンク
#スニダン",1,17,246
"John Lewis, Jr.",@JGLJR89,2021-05-11T10:59:55.000Z,"Good run. 
#Nike #NRC #NikeRunClub #babysteps #AreYouRunningWithMeTaylor #TaylorSwift
 #Motivation #MotivationByTSwift  #Swiftie4Life @ Park Place https://instagram.com/p/COuu5cvh2h8/?igshid=fgrrtxou8h9b…",,,1
(꜆ ˙-˙ )꜆〝Søü〟,@Souou_17,2021-05-11T10:58:00.000Z,"ティエンポレジェンド8
#サッカースパイク
#NIKE
#ナイキ 
#高校サッカー
#サッカー",,,
スニーカー,@tfs_sneaker,2021-05-11T10:57:39.000Z,"【NIKE SB/ナイキエスビー】から ZOOM BLAZER LOW PRO GT買取入荷です。
https://tf-style.com/shop/673/topics/349972/…

#スニーカー #NIKE #SB #ナイキエスビー #ローカットスニーカー #与野",,,
JB Kustom Kickz,@jbkustomkickz,2021-05-11T10:57:08.000Z,"One of my favourite customs...#Bape x #AJ1
http://instagram.com/JBKUSTOMKICKZ

#jbkustomkickz #customshoes #customkicks #customsneakers #nike #sneakerhead #sneakers #sneakeraddict #sneakerart #streetwear #camoprint #kicks #babymilo #bapeape #bapesta",,,
Param,@Param62322399,2021-05-11T10:55:03.000Z,Papara hesabınız yok mobil bankaciliginiz varsa bize ulaşın anında 250 tl ayrıca papara hesaplarinizda alınır #Nike #hepsiburada #yemeksepeti #adidas #yardim #ekgelir #oyun #bahis #iddaa #AksadaZulumVar,,,1
みよこ,@miiiiiiii41,2021-05-11T10:53:03.000Z,"ランシュー届いたから
開封の儀撮ったんだけど
見返したらまぁ全てが雑
笑
もっとゆっくりきれいに開けれないもんかね
ガサツさが前面に出てる
 #NIKE0:10
27 views",1,,
Esquire*Attire,@esquireattire,2021-05-11T10:51:36.000Z,https://ebay.to/32yXiJq #NIKE Zoom Rival M Racing Track Field Spikes Size,,,
Daoist Sportsman,@DaoistSportsman,2021-05-11T10:48:00.000Z,Peep the fit #Maradona #aldi #nike #nikeairforce1 @ Napoli https://instagram.com/p/COutiT1hN_o/?igshid=obka2z9m96d8…,,1,1
BLACK Style,@0522_musashi,2021-05-11T10:44:55.000Z,"よっしゃー！
商談成立！
上司にしつこく粘って定価で譲ってもらった！
後はグリーングロウをできる限り安く仕入れよう
#NIKE  #スニーカー
#ダンク　#レーザーオレンジ",,,8
Isidore Beautrelet,@isidbeautrelet,2021-05-11T10:42:58.000Z,Spero sia una fake. Ma la fa la #Nike o #RobertoCavalli? Orribile pitonata. Il guaio è che poi ci si fa comunque l’occhio. #Inter #IMScudetto #IMInter #interfc #fcinter,,,
Fred,@beastydesign,2021-05-11T10:39:55.000Z,#tomyfirstcoach #nike,1,,7
Supreme君,@supreme_kun,2021-05-11T10:39:06.000Z,"【
速報】

【Nike】Air Jordan 1 Mid “To My First Coach”が国内5月21日に発売予定

#シュプリーム #2019SS #ファッション #アパレル #コラボ #supreme #nike #stussy #スニーカー #ナイキ
 http://supremekun.com",,,
Casablanca,@Asmaa75632368,2021-05-11T10:39:05.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #simplyveraverawang #nike #charlesjourdan: https://posh.mk/l09tBD7zagb",,,
Chelsey McCurdy,@MccurdyChelsey,2021-05-11T10:38:25.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike #jumpingbeans #misslook: https://posh.mk/zuq4kL4zagb",,,
JERSEY MAN,@JERSEYM57830928,2021-05-11T10:38:24.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike: https://posh.mk/waEWbF4zagb",,,
Wade Woodall,@Like_a_martyr23,2021-05-11T10:38:20.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@jessjakeway
 #poshmark #fashion #style #shopmycloset #converse #lanebryant #nike: https://posh.mk/KVR2Rj4zagb",,,
Ash5280,@ash5280,2021-05-11T10:38:12.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@crowe_shara
 #poshmark #fashion #style #shopmycloset #baretraps #topshop #nike: https://posh.mk/DfEYzL3zagb",,,
Ciaralashay,@Ciaralashayy,2021-05-11T10:38:06.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #gimmicksbybke #nike #zara: https://posh.mk/YhW2Ml3zagb",,,
Suzie Albers,@suzcat12,2021-05-11T10:38:04.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike #newvintage #freepeople: https://posh.mk/ij3sF62zagb",,2,1
たぁちゃん,@Mix2128S,2021-05-11T10:36:12.000Z,"雰囲気良い！
インラインのDUNK SB好きなんです。。

w&pはパープルの雰囲気が初期アウトドア（茶青緑）の青に似てて堪りません
#nike",1,,5
響【Absolute area】,@kyo_drums_area,2021-05-11T10:35:00.000Z,".
.
NIKE AIR JORDAN 1 HIGH OG 
""HYPER ROYAL""
.
初めてのJORDAN 1のハイカット
.
届いたの前なのに投稿してなかった
.
最近スニーカー上げてないけど、
投稿してないやつめっちゃあります、、、
.
#nike #jordan #jordan1 
#hyperroyal #sneakers https://instagram.com/p/COusDFrJllL/?igshid=usw2utvi7ppc…",,1,13
おむー,@sam036sam036sam,2021-05-11T10:32:20.000Z,"連続ラン121日目
#連続ラン更新中 
#雨が降る前ラン
#明日からずっと雨らしい
#継続は力なり
#毎日ラン
#nike
#justdoit 
#とにかくやれ
#オヤジファイト
#京都大会 https://instagram.com/p/COurUJcnyCZ/?igshid=1kuo8b88ownhd…",,,
CoreyAnthony,@CoreyAnthonyInc,2021-05-11T10:31:24.000Z,"Check out NIKE NWT MLB New York Mets Dri-Fit Blue/Orange Shorts Mens sz S #Nike #Athletic #MLB #NYMets https://ebay.us/7j5RTI via 
@eBayNIKE NWT MLB New York Mets Dri-Fit Blue/Orange Shorts Mens sz S
Front pockets, back zipper pocket, elastic drawstring waist, NYM Logo.
ebay.com",,,
TAKU/,@kingold11star,2021-05-11T10:26:14.000Z,"AF1×Gore TEX
DUNK
この2足は何としてでも欲しい

本命AF1なんで
DUNKは支援致します
#nike #membersday
#スニウォリ
#ナイキ
#メンバーズ
#デイ",,,1
転売クエスト,@tenbaiquest,2021-05-11T10:20:45.000Z,"【NIKE DUNK LOW RETRO “UNIVERSITY BLUE”】

■Calif
Web再抽選：5/12 12:00～5/12 17:59

#NIKE #ナイキ【5月3日（月）～】NIKE DUNK LOW RETRO “UNIVERSITY BLUE” | 転売クエスト
概要 現在、スニーカーカルチャーを象徴する存在と言っても過言ではない、「NIKE（ナイキ）」が生み出した名作「DUNK（ダンク）」の新色が発売。 発売日 5月3日（月）～ スタイルコー...
tenbaiquest.com",,,5
Miguel Morales,@ieeeh,2021-05-11T10:20:04.000Z,"¿Yay or Nay? Nike Air Zoom Tempo NEXT% ""Hyper Turquoise"" #sneakers #nike #airzoomtempo",,,
Mantate Mlotshwa,@MantateQueeneth,2021-05-11T10:19:00.000Z,"If shoes are a love language, that’ll be my zone
#Shoegame #Nike",3,1,33
TAKUMIスニーカーズ/スニーカー解説ブログ,@TAKUMI72209077,2021-05-11T10:17:57.000Z,"今晩、スペースヒッピーについて僕なりの解説記事あげます
 #NIKE #スペースヒッピー #スニーカー",,,2
David,@heycarameloooo,2021-05-11T10:13:46.000Z,"Martes 11, Parque retiro 
.
.
.
 #nike #madrid #running #retiro #parqueretiro ⁦
@_ElRetiro
⁩ ⁦
@madridrunningco
⁩ ⁦
@nikespain__
⁩ ⁦
@nikerunningPH
⁩ ⁦
@Running_es
⁩ ⁦
@ComunidadMadrid
⁩",,,3
NEWSMAP #相互フォロー #followme #スニダン #モノカブ,@happy_supreme,2021-05-11T10:13:46.000Z,"招待コード【QQZ7NE】を使うと #スニダン で3,000円安く買える
#supreme
#SEIKO
#時計
#NIKE
#ソックス
#靴下
#おしゃれ
#tee
#jordan1
#dunk
#af1
#相互フォロー
#拡散RT希望Quote Tweet
NEWSMAP #相互フォロー #followme #スニダン #モノカブ
@happy_supreme
 · 23h
／
3,000円招待クーポン
　新品・本物鑑定スニーカー
　をお得にゲットしよう
＼
招待コード【QQZ7NE】を使うと ",,1,
山田みのる,@konnyagashimada,2021-05-11T10:13:18.000Z,"皆様、大変お待たせ致しました!!
布袋寅泰さんとギター対決をする喫茶店員山田みのる

ぜひ、ご覧くださいませ!!
#Supreme
#Nike
#山田みのる https://mtbrs.net/ps_konnyagashimada_MP8btPB_jpg…",,,
"snAJ1nike
low",@snam95nike,2021-05-11T10:10:34.000Z,"安心してください
履いてますよ
ナイキのサンダル
ジョーダン クレーター
#nike",,,47
kickspotting,@kickspotting,2021-05-11T10:10:22.000Z,"@pjtucker
 with the Zoom Kobe 2 ASG 
#nike #kobe #zoomKobe2 #nbakicks https://instagr.am/p/COukjfEndWf/",,,
エヴァンス,@wkrEva1PW6jvNS7,2021-05-11T10:03:53.000Z,"Sup2021SS Week11

特に注目するモノは個人的にはなく
ポケティーは使い勝手ヨサゲかなー

そろそろ、きますか(･ω･)？

#Supreme
#2021SS #Week11
#CiniAndNils #Nike",,,
PLAYFUL,@playful_dc,2021-05-11T10:02:07.000Z,"https://playful-dc.com/newblog/?p=22738… 

#ブランド古着 #古着屋さん #古着 #プレイフル #playful #通販 #おしゃれさんと繋がりたい #古着すきさんと繋がりたい #fashion #japan #playfulb #ようやく #NIKE #sacai #DUNKLowVarsityMaize #シューレース #シューズ",,,2
SneakerFeed,@sneaker_feed21,2021-05-11T10:00:02.000Z,"The Ten van Off--White en Nike. De exclusieve lijn waar 
@VirgilAbloh
 zijn kenmerk heeft toegepast op de bekendste schoenen van Nike met een prachtig resultaat.  Vind ze op 
@StockX
. #theten #offwhite #sneaker #sneakers #nike http://stockx.nl",,,
スニーカーもアパレルも買うならスニダン【スニーカーダンク】,@snkrdunk,2021-05-11T10:00:01.000Z,"発売間近
奇抜なカラーリングとスウッシュのグラデーションが特徴的となったAJ1 LOWが5/14発売！
 https://snkrdunk.com/articles/10607/?tum_source=twitter&utm_medium=social&utm_campaign=articles…

#NIKE
#ナイキ
#AIRJORDAN1
#エアジョーダン1
#snkrdunk
#スニーカーダンク
#スニダン",1,20,153
Footpatrol London,@Footpatrol_ldn,2021-05-11T10:00:00.000Z,"WMNS Nike Air Max 95 'Chile Red/Coconut Milk' . Available online, sizes range from UK3.5 - UK8, priced at £155. Shop now: http://bit.ly/3w0qHYD #Nike #NikeWomens #AM95 #AirMax #AirMax95",,,3
September,@sep_kenken,2021-05-11T09:59:18.000Z,"Enjoy RUN
Love running feels good
Thank you for running 
Let's start running

Workout total＝Run 305 times

#nike #running #走れる事に感謝 
#reactinfinity #japan #nikerunner 
#enjoyrun #リアクトインフィニティ",,,1
Regretful man,@yourtimelord,2021-05-11T09:56:11.000Z,"If not take into account I got very specific paws, #Nike air max 90 the best armotized sneakers I've tried.",,,
